iter	Passed	Remaining
0	238	238271
1	251	125269
2	262	87332
3	264	65897
4	266	52951
5	282	46796
6	292	41560
7	294	36558
8	297	32748
9	298	29570
10	311	28002
11	312	25739
12	314	23857
13	319	22509
14	321	21142
15	325	19993
16	326	18907
17	328	17926
18	336	17376
19	338	16597
20	340	15855
21	341	15173
22	342	14549
23	343	13988
24	353	13790
25	355	13318
26	356	12857
27	359	12464
28	369	12367
29	370	11979
30	371	11617
31	372	11282
32	384	11261
33	386	10991
34	388	10717
35	390	10445
36	398	10368
37	399	10117
38	400	9869
39	402	9649
40	403	9438
41	404	9226
42	415	9241
43	416	9053
44	418	8875
45	419	8705
46	427	8662
47	429	8524
48	431	8369
49	433	8237
50	436	8115
51	442	8059
52	443	7928
53	445	7796
54	457	7864
55	459	7752
56	471	7802
57	474	7705
58	487	7776
59	489	7676
60	492	7576
61	493	7464
62	494	7359
63	496	7259
64	497	7160
65	504	7140
66	514	7159
67	518	7110
68	520	7017
69	521	6930
70	531	6959
71	533	6881
72	537	6825
73	548	6866
74	550	6783
75	551	6701
76	552	6623
77	563	6662
78	567	6616
79	582	6696
80	584	6627
81	585	6557
82	586	6478
83	590	6441
84	594	6404
85	596	6337
86	600	6302
87	601	6238
88	604	6187
89	606	6137
90	611	6108
91	614	6061
92	615	6003
93	616	5945
94	628	5988
95	632	5958
96	645	6007
97	647	5959
98	649	5915
99	662	5958
100	663	5906
101	665	5863
102	672	5854
103	676	5830
104	679	5794
105	682	5754
106	689	5751
107	691	5709
108	694	5674
109	708	5735
110	712	5703
111	724	5741
112	742	5827
113	746	5802
114	752	5794
115	757	5776
116	761	5743
117	771	5763
118	773	5725
119	777	5700
120	779	5661
121	786	5661
122	790	5639
123	793	5606
124	801	5612
125	805	5589
126	806	5546
127	808	5508
128	810	5473
129	820	5493
130	823	5459
131	834	5489
132	836	5454
133	838	5420
134	842	5395
135	855	5433
136	868	5469
137	871	5442
138	873	5410
139	874	5374
140	884	5386
141	885	5350
142	888	5322
143	889	5288
144	897	5290
145	899	5262
146	903	5240
